# ※ 本文件為教學用合成範例,情節與人物純屬虛構,非真實個案,不得作為法律依據。（本行為註解列,匯入試算表時請略過此列。）
公司代號,年度,季別,報表日期,營業收入,營業成本,稅前淨利,應納稅額,金額單位,產業別
S1004,2023,Q1,2023/3/31,3274684000,2155062000,-263561000,0,元,營建
S1004,2023,Q2,20230630,"1,505,711","999,817","267,065","53,413",千元,營建
S1004,2023,Q4,2023-12-31,492424000,328614000,146343000,29268000,元,營建
S1004,2024,Q1,2024/3/31,2457042,1551168,772247,154449,千元,營建
S1004,2024,Q2,6/30/2024,2174976,1850662,273113,54622,千元,營建
S1004,2024,Q3,113.09.30,"1,898,304","1,263,433",,"105,698",千元,營建
S1004,2024,Q4,20241231,"304,037","243,364","57,557","11,511",千元,營建
S1005,2022,Q1,2022/3/31,2809172,2411442,184759,36951,千元,金融
S1005,2022,Q3,2022/9/30,2676632,2158939,309214,61842,千元,金融
S1005,2022,Q4,12/31/2022,2135407,1350415,407789,81557,千元,金融
S1005,2023,Q2,112.06.30,3217399,2132242,835978,167195,仟元,金融
S1005,2023,Q3,9/30/2023,"2,002,442,000","1,349,785,000","333,870,000","66,774,000",元,金融
S1005,2023,Q4,12/31/2023,753130,559045,-99629,0,千元,金融
S1005,2024,Q1,2024/3/31,３０１５５７１,２６７３３５２,-１１２５１１,０,千元,金融
S1005,2024,Q3,9/30/2024,3466293,2415246,687038,137407,千元,金融
S1006,2022,Q3,111.09.30,２９６８８２７,２４０３４２１,２９２３４９,５８４６９,千元,電子零組件
S1006,2022,Q4,20221231,2042174,1557997,348723,69744,千元,電子零組件
S1006,2023,Q1,2023-03-31,812826,631729,76451,15290,千元,電子零組件
S1006,2024,Q1,2024/3/31,1102537,728502,247922,49584,仟元,電子零組件
S1006,2024,Q2,6/30/2024,2684057,1880173,-264191,0,千元,電子零組件
S1006,2024,Q3,20240930,122957,89117,16697,3339,千元,電子零組件
S1006,2024,Q4,20241231,1205019,682001,326991,65398,千元,電子零組件
S1007,2022,Q1,2022-03-31,3370410,2316783,909464,181892,千元,生技
S1007,2022,Q2,20220630,818876,578772,209234,41846,千元,生技
S1007,2022,Q3,2022/9/30,840632,556046,177732,35546,千元,生技
S1007,2022,Q4,20221231,1659329,1114547,226121,45224,千元,生技
S1007,2023,Q2,20230630,1770331,1088685,609502,121900,千元,生技
S1007,2023,Q3,2023-09-30,1482467,1176755,188762,37752,千元,生技
S1007,2023,Q4,2023-12-31,2699141,2265327,343819,68763,千元,生技
S1007,2024,Q1,3/31/2024,"3,383,853","2,829,976","242,084","48,416",千元,生技
S1008,2022,Q2,111.06.30,1380942,1085282,134288,26857,千元,觀光
S1008,2022,Q3,20220930,561311,326411,221763,44352,千元,觀光
S1008,2022,Q4,2022-12-31,2989335,1726456,873589,174717,千元,觀光
S1008,2023,Q1,112.03.31,１５８７９２２,１１７８２０７,２２３３２４,４４６６４,千元,觀光
S1008,2023,Q2,6/30/2023,1063338,904662,80687,16137,千元,觀光
S1008,2023,Q4,112.12.31,3186731,2343767,415905,83181,千元,觀光
S1008,2024,Q1,20240331,823233,647787,159622,,千元,觀光
S1008,2024,Q2,2024-06-30,1168926000,821505000,322984000,64596000,元,觀光
S1008,2024,Q4,2024-12-31,744658,418892,245299,49059,千元,觀光
S1009,2022,Q2,6/30/2022,3280512,2404929,818325,163665,千元,鋼鐵
S1009,2023,Q2,20230630,895659,594744,281785,56357,千元,鋼鐵
S1009,2023,Q4,20231231,"2,428,074","1,529,532","778,301","155,660",千元,鋼鐵
S1009,2024,Q2,20240630,142774,117187,13440,2688,千元,鋼鐵
S1009,2024,Q3,2024/9/30,674936,555700,69182,13836,千元,鋼鐵
S1010,2022,Q1,3/31/2022,2434892,1743420,481868,,千元,資訊服務
S1010,2022,Q2,111.06.30,1887085,1049673,434243,86848,千元,資訊服務
S1010,2022,Q3,9/30/2022,1737629,1079020,452297,90459,千元,資訊服務
S1010,2022,Q4,2022/12/31,１２０６３６２,１０２２２６２,７４８１８,１４９６３,千元,資訊服務
S1010,2023,Q2,2023/6/30,659933,417360,193784,38756,千元,資訊服務
S1010,2023,Q3,9/30/2023,３３２４２５３,２４６８２７７,４８６７７１,９７３５４,千元,資訊服務
S1010,2023,Q4,20231231,2961987,2410329,468410,93682,千元,資訊服務
S1010,2024,Q1,20240331,1907913,1338207,230456,46091,千元,資訊服務
S1010,2024,Q2,2024-06-30,2835756,1740872,848697,169739,千元,資訊服務
S1010,2024,Q3,2024/9/30,"1,062,595","647,112","247,541","49,508",千元,資訊服務
S1010,2024,Q4,2024/12/31,"1,200,086","660,502","433,301","86,660",千元,資訊服務
S1011,2022,Q1,111.03.31,1670589,1435340,212811,42562,千元,半導體
S1011,2022,Q2,20220630,1128353,848369,156412,31282,千元,半導體
S1011,2022,Q3,2022-09-30,3396957,2821631,298867,59773,千元,半導體
S1011,2023,Q1,2023/3/31,317915000,189469000,106774000,21354000,元,半導體
S1011,2023,Q2,6/30/2023,1771466,1035855,-173431,0,千元,半導體
S1011,2023,Q3,112.09.30,3224559,2846577,259057,51811,千元,半導體
S1011,2024,Q2,20240630,2862711,1878863,729701,145940,千元,半導體
S1011,2024,Q3,2024-09-30,309121000,245485000,53270000,10654000,元,半導體
S1011,2024,Q4,2024/12/31,"924,025","546,220","210,629","42,125",千元,半導體
S1012,2022,Q2,6/30/2022,1839140,1528578,168864,33772,千元,食品
S1012,2022,Q3,111.09.30,1107504000,969846000,113310000,22662000,元,食品
S1012,2022,Q4,20221231,"2,461,138","1,573,952","767,021","153,404",千元,食品
S1012,2023,Q1,2023-03-31,1719858,1234945,424016,84803,千元,食品
S1012,2023,Q2,2023/6/30,1373662,1181569,131558,26311,千元,食品
S1012,2024,Q1,3/31/2024,2618421,2196573,177000,35400,千元,食品
S1012,2024,Q2,113.06.30,2525186,2036469,358123,71624,千元,食品
S1012,2024,Q3,20240930,1245392000,733462000,271738000,54347000,元,食品
S1012,2024,Q4,2024/12/31,281528,212964,61468,12293,千元,食品
